Uniprot Entry,0,1,2,3,4,5,6,7,8,9
P68033,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P16330,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P61979,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
H3BLL4,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
H3BK96,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
E9QNP0,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
E9Q4P0,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P62984,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
E9Q9J0,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
B7FAU9,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q8BTM8,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P40142,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P06745,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P27773,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P26443,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P05063,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P13595,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P20357,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q61598,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P08113,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P46460,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P62204,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P19096,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P14152,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q9R0P9,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q5SV64,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P38647,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q8BG05,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
A2AL12,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P06151,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
G5E8N5,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
D3Z736,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P26039,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P17183,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
D3Z6E4,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P18872,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P70296,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
D3Z1V4,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
D6RHS6,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P61982,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P08551,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q3U2G2,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q61316,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
Q9EQF6,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P15105,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P16125,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
D3Z7F0,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P05201,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P43274,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P99024,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
P62814,Brainstem,Cerebellum,Corpus_Callosum,Motor_Cortex,Olfactory_Bulb,Optic_Nerve,Prefrontal_Cortex,Striatum,Thalamus,Ventral_Hippocampus
