Uniprot Entry,Accession Name
Q925N1,['SFXN4_MOUSE']
Q99JR5,['TINAL_MOUSE']
Q99JW5,['EPCAM_MOUSE']
Q99KK2,['NEUA_MOUSE']
Q99KU6,['CF089_MOUSE']
Q99LI7,['CSTF3_MOUSE']
Q99MD9,['NASP_MOUSE']
Q99MI6,['GIMA3_MOUSE']
Q99MV7,['RNF17_MOUSE']
Q99N57,['RAF1_MOUSE']
Q99N80,['SYTL1_MOUSE']
Q99N96,['RM01_MOUSE']
Q99PP2,['ZN318_MOUSE']
Q9CQ26,['STABP_MOUSE']
Q9CQ56,['USE1_MOUSE']
Q9CQQ8,['LSM7_MOUSE']
Q9CUU3,['SYCP2_MOUSE']
Q9CWR0,['ARHGP_MOUSE']
Q9CX66,['CL045_MOUSE']
Q9D023,['MPC2_MOUSE']
Q9D0L1,['ZBED3_MOUSE']
Q9D0L7,['ARM10_MOUSE']
Q9D0M1,['KPRA_MOUSE']
Q9D0Q7,['RM45_MOUSE']
Q9D132,['UPK1A_MOUSE']
Q9D258,['ACBD7_MOUSE']
Q9D305,['THAP2_MOUSE']
Q9D3S9,['CPVL_MOUSE']
Q9D6K7,['TTC33_MOUSE']
Q9D6K8,['FUND2_MOUSE']
Q9D7V9,['NAAA_MOUSE']
Q9D8N2,['DEN10_MOUSE']
Q9D994,['WDR38_MOUSE']
Q9D9D8,['DUS21_MOUSE']
Q9D9T8,['EFHC1_MOUSE']
Q9DB60,['PXL2B_MOUSE']
Q9EPQ8,['TCF20_MOUSE']
Q9EQS3,['MYCBP_MOUSE']
Q9ESG8,['ZDH16_MOUSE']
Q9JHJ0,['TMOD3_MOUSE']
Q9JIS8,['S12A4_MOUSE']
Q9JIW9,['RALB_MOUSE']
Q9JJ80,['RPF2_MOUSE']
Q9JJA2,['COG8_MOUSE']
Q9JJZ9,['CNGB3_MOUSE']
Q9JL60,['GMEB1_MOUSE']
Q9JLI6,['SCLY_MOUSE']
Q9QUN3,['BLNK_MOUSE']
Q9QWR8,['NAGAB_MOUSE']
Q9QY30,['ABCBB_MOUSE']
Q9QY81,['PO210_MOUSE']
Q9QZ67,['PPM1D_MOUSE']
Q9R0A1,['CLCN2_MOUSE']
Q9R0H0,['ACOX1_MOUSE']
Q9R0L7,['AKP8L_MOUSE']
Q9R1K9,['CETN2_MOUSE']
Q9WTU6,['MK09_MOUSE']
Q9WUN8,['LBX2_MOUSE']
Q9WVF7,['DPOE1_MOUSE']
Q9WVL2,['STAT2_MOUSE']
Q9Z0E2,['CHRD_MOUSE']
Q9Z0H7,['BCL10_MOUSE']
Q9Z0L3,['OC90_MOUSE']
Q9Z1T6,['FYV1_MOUSE']
Q9Z207,['DIAP3_MOUSE']
Q9Z275,['RLBP1_MOUSE']
Q9Z2I4,['ROBO3_MOUSE']
Q9Z315,['SNUT1_MOUSE']
W8DXL4,['LRIT3_MOUSE']
P68510,['1433F_MOUSE']
Q99L13,['3HIDH_MOUSE']
Q8BFZ3,['ACTBL_MOUSE']
Q9CZS1,['AL1B1_MOUSE']
Q9DB20,['ATPO_MOUSE']
Q9DB60,['CA093_MOUSE']
Q9WUD1,['CHIP_MOUSE']
Q68FD5,['CLH_MOUSE']
Q3U5Q7,['CMPK2_MOUSE']
Q5M8N0,['CNRP1_MOUSE']
Q5XJY5,['COPD_MOUSE']
Q9Z0Y1,['DCTN3_MOUSE']
Q9R0P5,['DEST_MOUSE']
Q9CZR8,['EFTS_MOUSE']
Q8K0E8,['FIBB_MOUSE']
P29391,['FRIL1_MOUSE']
P49945,['FRIL2_MOUSE']
P18872,['GNAO_MOUSE']
P48774,['GSTM5_MOUSE']
P01942,['HBA_MOUSE']
P51859,['HDGF_MOUSE']
Q9JMG7,['HDGR3_MOUSE']
Q9Z130,['HNRDL_MOUSE']
Q8R081,['HNRPL_MOUSE']
Q8BMJ3,['IF1AX_MOUSE']
Q8K274,['KT3K_MOUSE']
Q61205,['PA1B3_MOUSE']
P60335,['PCBP1_MOUSE']
Q61990,['PCBP2_MOUSE']
Q8BFQ8,['PDDC1_MOUSE']
Q91VJ5,['PQBP1_MOUSE']
P62196,['PRS8_MOUSE']
Q9R1P0,['PSA4_MOUSE']
P26043,['RADI_MOUSE']
P34022,['RANG_MOUSE']
O89086,['RBM3_MOUSE']
Q9D8E6,['RL4_MOUSE']
Q8BG05,['ROA3_MOUSE']
Q99020,['ROAA_MOUSE']
P17563,['SBP1_MOUSE']
Q9JJU8,['SH3L1_MOUSE']
Q8BG73,['SH3L2_MOUSE']
Q99JB2,['STML2_MOUSE']
P80313,['TCPH_MOUSE']
Q8BWT1,['THIM_MOUSE']
P52196,['THTR_MOUSE']
Q9QZE7,['TSNAX_MOUSE']
Q9D883,['U2AF1_MOUSE']
P58321,['UCHL4_MOUSE']
P20152,['VIME_MOUSE']
Q9ERF3,['WDR61_MOUSE']
