Uniprot Entry,Accession Name
P70333,['HNRH2_MOUSE']
P56399,['UBP5_MOUSE']
P15508,['SPTB1_MOUSE']
Q8R366,['IGSF8_MOUSE']
P13595,['NCAM1_MOUSE']
P48962,['ADT1_MOUSE']
P63011,['RAB3A_MOUSE']
Q9EQH3,['VPS35_MOUSE']
P14094,['AT1B1_MOUSE']
Q9DB77,['QCR2_MOUSE']
P31648,['SC6A1_MOUSE']
P46096,['SYT1_MOUSE']
Q9EQF6,['DPYL5_MOUSE']
Q80SW1,['SAHH2_MOUSE']
P80317,['TCPZ_MOUSE']
P80315,['TCPD_MOUSE']
P05132,['KAPCA_MOUSE']
P14685,['PSMD3_MOUSE']
Q9JME5,['AP3B2_MOUSE']
Q61598,['GDIB_MOUSE']
Q921F4,['HNRLL_MOUSE']
P99027,['RLA2_MOUSE']
P47757,['CAPZB_MOUSE']
Q9CQA3,['DHSB_MOUSE']
Q8R071,['IP3KA_MOUSE']
P09405,['NUCL_MOUSE']
Q9CT03,['PSIP1_MOUSE']
B2RSH2,['GNAI1_MOUSE']
Q8BGT8,['PHIPL_MOUSE']
O35682,['MYADM_MOUSE']
Q9R0P9,['UCHL1_MOUSE']
Q9DC51,['GNAI3_MOUSE']
Q9CPY7,['AMPL_MOUSE']
P31786,['ACBP_MOUSE']
P63318,['KPCG_MOUSE']
Q91887,['UBB_MOUSE']
P61027,['RAB10_MOUSE']
Q8R0Y6,['AL1L1_MOUSE']
Q8K290,['RTN4_MOUSE']
Q8BGQ7,['SYAC_MOUSE']
P10630,['IF4A2_MOUSE']
Q9Z0P4,['PALM_MOUSE']
Q99PT1,['GDIR1_MOUSE']
P19783,['COX41_MOUSE']
O88342,['WDR1_MOUSE']
P10852,['4F2_MOUSE']
Q8BG39,['SV2B_MOUSE']
Q3UHJ0,['AAK1_MOUSE']
Q9CYT6,['CAP2_MOUSE']
O08539,['BIN1_MOUSE']
P61161,['ARP2_MOUSE']
P42932,['TCPQ_MOUSE']
O35459,['ECH1_MOUSE']
Q9Z1G4,['VPP1_MOUSE']
Q91XM9,['DLG2_MOUSE']
Q9CZ44,['NSF1C_MOUSE']
P55264,['ADK_MOUSE']
P42669,['PURA_MOUSE']
P58252,['EF2_MOUSE']
Q91XH2,['SEPT6_MOUSE']
D3YZU1,['SHAN1_MOUSE']
P48722,['HS74L_MOUSE']
Q68FL4,['SAHH3_MOUSE']
Q9R0P3,['ESTD_MOUSE']
Q810U3,['NFASC_MOUSE']
Q8BZ98,['DYN3_MOUSE']
Q8BIW1,['PRUNE_MOUSE']
Q9DB20,['ATPO_MOUSE']
P61205,['ARF3_MOUSE']
Q8CI94,['PYGB_MOUSE']
P63005,['LIS1_MOUSE']
O88485,['DC1I1_MOUSE']
O55131,['SEPT7_MOUSE']
Q9D8E6,['RL4_MOUSE']
P00405,['COX2_MOUSE']
Q9WTT4,['VATG2_MOUSE']
P10922,['H10_MOUSE']
Q3UNH4,['GRIN1_MOUSE']
P80318,['TCPG_MOUSE']
Q61625,['GRID2_MOUSE']
Q9CRB9,['CHCH3_MOUSE']
Q922B2,['SYDC_MOUSE']
D3YXK2,['SAFB1_MOUSE']
Q9WUB3,['PYGM_MOUSE']
P09103,['PDIA1_MOUSE']
P18760,['COF1_MOUSE']
O70133,['DHX9_MOUSE']
Q71LX4,['TLN2_MOUSE']
Q810U4,['NRCAM_MOUSE']
Q4VBD2,['TAPT1_MOUSE']
P50518,['VATE1_MOUSE']
O55023,['IMPA1_MOUSE']
Q9CZW5,['TOM70_MOUSE']
P35564,['CALX_MOUSE']
P07724,['ALBU_MOUSE']
Q8R0S4,['CACB4_MOUSE']
Q9Z2W8,['GRIA4_MOUSE']
P63024,['VAMP3_MOUSE']
Q9WUK2,['IF4H_MOUSE']
Q3UEB3,['PUF60_MOUSE']
Q3UGY8,['BIG3_MOUSE']
Q91WC3,['ACSL6_MOUSE']
P22723,['GBRG2_MOUSE']
P70168,['IMB1_MOUSE']
Q9R1Q8,['TAGL3_MOUSE']
O88343,['S4A4_MOUSE']
Q60605,['MYL6_MOUSE']
P14824,['ANXA6_MOUSE']
Q8R464,['CADM4_MOUSE']
P50247,['SAHH_MOUSE']
Q791V5,['MTCH2_MOUSE']
P63328,['PP2BA_MOUSE']
Q62108,['DLG4_MOUSE']
Q9CPV4,['GLOD4_MOUSE']
P57780,['ACTN4_MOUSE']
Q3U1J4,['DDB1_MOUSE']
Q80XU3,['NUCKS_MOUSE']
P19157,['GSTP1_MOUSE']
Q9D6J6,['NDUV2_MOUSE']
Q8BW86,['ARG33_MOUSE']
Q6ZWR6,['SYNE1_MOUSE']
Q9JL35,['HMGN5_MOUSE']
Q8BIK4,['DOCK9_MOUSE']
Q64010,['CRK_MOUSE']
P63085,['MK01_MOUSE']
Q8BI84,['MIA3_MOUSE']
Q9D0E1,['HNRPM_MOUSE']
P62748,['HPCL1_MOUSE']
P70372,['ELAV1_MOUSE']
Q8BMS1,['ECHA_MOUSE']
P62908,['RS3_MOUSE']
P53994,['RAB2A_MOUSE']
O35658,['C1QBP_MOUSE']
O09111,['NDUBB_MOUSE']
P97379,['G3BP2_MOUSE']
Q921M7,['FA49B_MOUSE']
Q9WTX5,['SKP1_MOUSE']
P47753,['CAZA1_MOUSE']
Q9JLZ3,['AUHM_MOUSE']
Q8R001,['MARE2_MOUSE']
Q9D2G2,['ODO2_MOUSE']
Q9DCS9,['NDUBA_MOUSE']
Q8BIJ6,['SYIM_MOUSE']
Q91YR1,['TWF1_MOUSE']
Q9WU78,['PDC6I_MOUSE']
Q8BG05,['ROA3_MOUSE']
Q02248,['CTNB1_MOUSE']
Q99JY0,['ECHB_MOUSE']
Q9QUR6,['PPCE_MOUSE']
Q61305,['ANK3_MOUSE']
Q923T9,['KCC2G_MOUSE']
Q9WV34,['MPP2_MOUSE']
Q9R0Q6,['ARC1A_MOUSE']
P22599,['A1AT2_MOUSE']
O88910,['MPP3_MOUSE']
P97445,['CAC1A_MOUSE']
Q91Z67,['SRGP2_MOUSE']
P11983,['TCPA_MOUSE']
Q8K183,['PDXK_MOUSE']
Q9CPQ3,['TOM22_MOUSE']
Q9CPW0,['CNTP2_MOUSE']
Q61937,['NPM_MOUSE']
P21619,['LMNB2_MOUSE']
Q8K298,['ANLN_MOUSE']
O88844,['IDHC_MOUSE']
Q60829,['PPR1B_MOUSE']
Q6ZQ38,['CAND1_MOUSE']
P48193,['41_MOUSE']
P84084,['ARF5_MOUSE']
Q61699,['HS105_MOUSE']
Q8C996,['TM163_MOUSE']
Q8JZS0,['LIN7A_MOUSE']
Q8C167,['PPCEL_MOUSE']
P11798,['KCC2A_MOUSE']
Q9EP69,['SAC1_MOUSE']
Q80WL8,['MADD_MOUSE']
Q2PFD7,['PSD3_MOUSE']
Q0KL02,['TRIO_MOUSE']
O35381,['AN32A_MOUSE']
P46935,['NEDD4_MOUSE']
Q9WV55,['VAPA_MOUSE']
Q62059,['CSPG2_MOUSE']
P55012,['S12A2_MOUSE']
Q61792,['LASP1_MOUSE']
Q80TS3,['LPHN3_MOUSE']
Q9DBG6,['RPN2_MOUSE']
Q91V92,['ACLY_MOUSE']
Q8R3G1,['PP1R8_MOUSE']
P35486,['ODPA_MOUSE']
P43006,['EAA2_MOUSE']
P35700,['PRDX1_MOUSE']
P28667,['MRP_MOUSE']
P13020,['GELS_MOUSE']
Q9CZ42,['NNRD_MOUSE']
P0C0S6,['H2AZ_MOUSE']
Q61301,['CTNA2_MOUSE']
Q9DCL8,['IPP2_MOUSE']
O54931,['AKAP2_MOUSE']
Q9Z2Q6,['SEPT5_MOUSE']
Q8K021,['SCAM1_MOUSE']
Q9CZ04,['CSN7A_MOUSE']
Q4VA53,['PDS5B_MOUSE']
Q8BGH2,['SAM50_MOUSE']
Q3U0V1,['FUBP2_MOUSE']
O35887,['CALU_MOUSE']
Q9QXL2,['KI21A_MOUSE']
Q9CXS4,['CENPV_MOUSE']
Q80UP3,['DGKZ_MOUSE']
Q62442,['VAMP1_MOUSE']
Q76MZ3,['2AAA_MOUSE']
O70435,['PSA3_MOUSE']
Q5TLK5,['ADA22_MOUSE']
Q00896,['A1AT3_MOUSE']
Q64727,['VINC_MOUSE']
Q9Z0V2,['KCND2_MOUSE']
Q60598,['SRC8_MOUSE']
P28661,['SEPT4_MOUSE']
Q9CPU0,['LGUL_MOUSE']
P61750,['ARF4_MOUSE']
P63321,['RALA_MOUSE']
O09061,['PSB1_MOUSE']
O54988,['SLK_MOUSE']
P48758,['CBR1_MOUSE']
Q63844,['MK03_MOUSE']
P28738,['KIF5C_MOUSE']
Q9DCT2,['NDUS3_MOUSE']
Q99K30,['ES8L2_MOUSE']
Q8K2B3,['DHSA_MOUSE']
P01831,['THY1_MOUSE']
Q61656,['DDX5_MOUSE']
Q8C1B7,['SEP11_MOUSE']
Q9D819,['IPYR_MOUSE']
Q9Z0X1,['AIFM1_MOUSE']
Q9CRD0,['OCAD1_MOUSE']
Q64516,['GLPK_MOUSE']
Q3THK7,['GUAA_MOUSE']
Q8C2Q3,['RBM14_MOUSE']
Q9CXZ1,['NDUS4_MOUSE']
P58281,['OPA1_MOUSE']
Q8VDJ3,['VIGLN_MOUSE']
P54823,['DDX6_MOUSE']
Q4KUS2,['UN13A_MOUSE']
A2AGT5,['CKAP5_MOUSE']
Q9CQ62,['DECR_MOUSE']
Q8VD37,['SGIP1_MOUSE']
Q7TNC4,['LC7L2_MOUSE']
Q9QWI6,['SRCN1_MOUSE']
Q99JY9,['ARP3_MOUSE']
Q99PV0,['PRP8_MOUSE']
P62962,['PROF1_MOUSE']
Q6P5F9,['XPO1_MOUSE']
Q8R395,['COMD5_MOUSE']
Q8BG32,['PSD11_MOUSE']
Q9Z2E4,['PPR17_MOUSE']
Q9JKY5,['HIP1R_MOUSE']
Q9D3A9,['TTYH1_MOUSE']
Q9WV98,['TIM9_MOUSE']
P26638,['SYSC_MOUSE']
P51880,['FABP7_MOUSE']
Q923X2,['MFN2_MOUSE']
Q91VE0,['S27A4_MOUSE']
Q91V61,['SFXN3_MOUSE']
P23818,['GRIA1_MOUSE']
Q8CHX7,['RFTN2_MOUSE']
Q9QZQ8,['H2AY_MOUSE']
Q9Z2X1,['HNRPF_MOUSE']
Q921H8,['THIKA_MOUSE']
Q3THS6,['METK2_MOUSE']
A2A8U2,['TM201_MOUSE']
P97315,['CSRP1_MOUSE']
P55088,['AQP4_MOUSE']
O88685,['PRS6A_MOUSE']
Q8VCT3,['AMPB_MOUSE']
Q8R127,['SCPDL_MOUSE']
Q6PHZ2,['KCC2D_MOUSE']
Q3TXS7,['PSMD1_MOUSE']
Q8BRT1,['CLAP2_MOUSE']
P51150,['RAB7A_MOUSE']
P62715,['PP2AB_MOUSE']
Q8CHH9,['SEPT8_MOUSE']
Q8VDD5,['MYH9_MOUSE']
P43275,['H11_MOUSE']
O55022,['PGRC1_MOUSE']
P31938,['MP2K1_MOUSE']
Q9EPN1,['NBEA_MOUSE']
Q5DU25,['IQEC2_MOUSE']
Q9D2N4,['DTNA_MOUSE']
Q8VE06,['HP1B3_MOUSE']
O88643,['PAK1_MOUSE']
Q76LS9,['FA63A_MOUSE']
Q9JLB0,['MPP6_MOUSE']
Q9Z1N5,['DX39B_MOUSE']
O89051,['ITM2B_MOUSE']
Q62425,['NDUA4_MOUSE']
P35585,['AP1M1_MOUSE']
P08226,['APOE_MOUSE']
Q8BVE3,['VATH_MOUSE']
Q8BXZ1,['TMX3_MOUSE']
P48453,['PP2BB_MOUSE']
Q8BUV3,['GEPH_MOUSE']
P63073,['IF4E_MOUSE']
Q9JJV2,['PROF2_MOUSE']
Q9Z0P5,['TWF2_MOUSE']
Q9DCW4,['ETFB_MOUSE']
E9PUL5,['PRRT2_MOUSE']
P49443,['PPM1A_MOUSE']
O08547,['SC22B_MOUSE']
Q64012,['RALY_MOUSE']
Q91YT0,['NDUV1_MOUSE']
Q9QUI0,['RHOA_MOUSE']
O54991,['CNTP1_MOUSE']
P33173,['KIF1A_MOUSE']
Q9JMG7,['HDGR3_MOUSE']
P12660,['PCP2_MOUSE']
Q5SYP0,['MY18A_MOUSE']
P12367,['KAP2_MOUSE']
Q99KH8,['STK24_MOUSE']
Q9QYF9,['NDRG3_MOUSE']
Q9Z1S5,['SEPT3_MOUSE']
Q00612,['G6PD1_MOUSE']
Q8BFZ9,['ERLN2_MOUSE']
Q6URW6,['MYH14_MOUSE']
O88544,['CSN4_MOUSE']
P28651,['CAH8_MOUSE']
Q3U1F9,['PHAG1_MOUSE']
Q93092,['TALDO_MOUSE']
Q8C1A5,['THOP1_MOUSE']
Q9D358,['PPAC_MOUSE']
Q3UM45,['PP1R7_MOUSE']
Q9Z1W8,['AT12A_MOUSE']
Q9JM14,['NT5C_MOUSE']
O08583,['THOC4_MOUSE']
Q9D394,['RUFY3_MOUSE']
Q99L47,['F10A1_MOUSE']
Q91ZX7,['LRP1_MOUSE']
Q80WM4,['HPLN4_MOUSE']
Q60676,['PPP5_MOUSE']
P47740,['AL3A2_MOUSE']
P28650,['PURA1_MOUSE']
Q9QXS6,['DREB_MOUSE']
Q99N28,['CADM3_MOUSE']
Q71M36,['CSPG5_MOUSE']
Q6NZL0,['SOGA3_MOUSE']
Q91Z31,['PTBP2_MOUSE']
Q56A07,['SCN2B_MOUSE']
Q62318,['TIF1B_MOUSE']
Q8K3A9,['MEPCE_MOUSE']
Q9WV02,['RBMX_MOUSE']
P45591,['COF2_MOUSE']
Q9Z1F9,['SAE2_MOUSE']
P70398,['USP9X_MOUSE']
P63242,['IF5A1_MOUSE']
Q62433,['NDRG1_MOUSE']
Q9ERG2,['STRN3_MOUSE']
Q9R0P4,['SMAP_MOUSE']
P0C0A3,['CHMP6_MOUSE']
Q9Z0R4,['ITSN1_MOUSE']
O35295,['PURB_MOUSE']
P62821,['RAB1A_MOUSE']
Q6PDG5,['SMRC2_MOUSE']
P35980,['RL18_MOUSE']
O70161,['PI51C_MOUSE']
Q8QZY1,['EIF3L_MOUSE']
Q8BH95,['ECHM_MOUSE']
Q6P4T2,['U520_MOUSE']
Q99LB6,['MAT2B_MOUSE']
P60904,['DNJC5_MOUSE']
Q80TB8,['VAT1L_MOUSE']
Q8BP47,['SYNC_MOUSE']
Q8VE37,['RCC1_MOUSE']
Q9WUM3,['COR1B_MOUSE']
Q91ZU8,['DYST_MOUSE']
O70251,['EF1B_MOUSE']
Q9Z1Q9,['SYVC_MOUSE']
P63158,['HMGB1_MOUSE']
Q61768,['KINH_MOUSE']
Q9WVK4,['EHD1_MOUSE']
P24527,['LKHA4_MOUSE']
Q78JW9,['UBFD1_MOUSE']
Q99L43,['CDS2_MOUSE']
Q9R1T2,['SAE1_MOUSE']
O35857,['TIM44_MOUSE']
Q60865,['CAPR1_MOUSE']
Q3UI70,['GNAS2_MOUSE']
Q99L13,['3HIDH_MOUSE']
P62761,['VISL1_MOUSE']
Q8K019,['BCLF1_MOUSE']
P83510,['TNIK_MOUSE']
O88569,['ROA2_MOUSE']
Q9DCP2,['S38A3_MOUSE']
Q80XI4,['PI42B_MOUSE']
Q9D154,['ILEUA_MOUSE']
Q99LX0,['PARK7_MOUSE']
Q9CQZ5,['NDUA6_MOUSE']
Q920N7,['SYT12_MOUSE']
Q8VBT0,['TMX1_MOUSE']
Q9JM52,['MINK1_MOUSE']
Q8BWF0,['SSDH_MOUSE']
Q2TPA8,['HSDL2_MOUSE']
Q61753,['SERA_MOUSE']
Q922D8,['C1TC_MOUSE']
P02301,['H3C_MOUSE']
Q64331,['MYO6_MOUSE']
Q8BTM8,['FLNA_MOUSE']
Q8CBW3,['ABI1_MOUSE']
Q8C7X2,['EMC1_MOUSE']
Q9Z1R2,['BAG6_MOUSE']
Q9CXW3,['CYBP_MOUSE']
Q9DCD0,['6PGD_MOUSE']
Q9DAR7,['DCPS_MOUSE']
P35278,['RAB5C_MOUSE']
Q91WG7,['DGKG_MOUSE']
Q8R1B4,['EIF3C_MOUSE']
Q3UJU9,['RMD3_MOUSE']
Q61029,['LAP2B_MOUSE']
Q99KU9,['HNRPQ_MOUSE']
P21107,['TPM3_MOUSE']
Q64105,['SPRE_MOUSE']
Q9JKK7,['TMOD2_MOUSE']
Q9CWZ7,['SNAG_MOUSE']
Q9D6J5,['NDUB8_MOUSE']
Q9WTM5,['RUVB2_MOUSE']
Q61166,['MARE1_MOUSE']
Q9CU62,['SMC1A_MOUSE']
P61021,['RAB5B_MOUSE']
Q3B7Z2,['OSBP1_MOUSE']
P26039,['TLN1_MOUSE']
Q07813,['BAX_MOUSE']
P07356,['ANXA2_MOUSE']
O55234,['PSB5_MOUSE']
Q8C0M9,['ASGL1_MOUSE']
Q9Z2Y8,['PROSC_MOUSE']
P19253,['RL13A_MOUSE']
P28660,['NCKP1_MOUSE']
Q8BH50,['CR025_MOUSE']
Q8R361,['RFIP5_MOUSE']
Q9DB72,['BTBDH_MOUSE']
Q3TY60,['F131B_MOUSE']
Q8K3G9,['DP13B_MOUSE']
P31324,['KAP3_MOUSE']
P97447,['FHL1_MOUSE']
P13707,['GPDA_MOUSE']
Q99L04,['DHRS1_MOUSE']
O35465,['FKBP8_MOUSE']
P45952,['ACADM_MOUSE']
P51660,['DHB4_MOUSE']
Q9Z2W9,['GRIA3_MOUSE']
Q9R0P2,['HUWE1_MOUSE']
Q8R010,['AIMP2_MOUSE']
Q9CSQ0,['GBLP_MOUSE']
Q9Z204,['HNRPC_MOUSE']
Q9Z2U0,['PSA7_MOUSE']
Q8R1S4,['MTSS1_MOUSE']
Q60692,['PSB6_MOUSE']
Q8K3H0,['DP13A_MOUSE']
Q91W50,['CSDE1_MOUSE']
