Uniprot Entry,Accession Name
Q8CIM8,['INT4_MOUSE']
Q8CIV2,['MBRL_MOUSE']
Q8JZS7,['HMGC2_MOUSE']
Q8K1E0,['STX5_MOUSE']
Q8K1R7,['NEK9_MOUSE']
Q8K284,['TF3C1_MOUSE']
Q8K2C7,['OS9_MOUSE']
Q8K2V6,['IPO11_MOUSE']
Q8K2Y0,['OBI1_MOUSE']
Q8K371,['AMOL2_MOUSE']
Q8K4B0,['MTA1_MOUSE']
Q8K4L0,['DDX54_MOUSE']
Q8K4L4,['POF1B_MOUSE']
Q8K4P0,['WDR33_MOUSE']
Q8R0Z2,['ENOX2_MOUSE']
Q8R1M0,['HMCES_MOUSE']
Q8R1N0,['ZN830_MOUSE']
Q8R1S4,['MTSS1_MOUSE']
Q8VCB3,['GYS2_MOUSE']
Q8VEE0,['RPE_MOUSE']
Q8VFM9,['OLF24_MOUSE']
Q8VHC3,['SELM_MOUSE']
Q8VHE6,['DYH5_MOUSE']
Q91V81,['RBM42_MOUSE']
Q91VL8,['TE2IP_MOUSE']
Q91W39,['NCOA5_MOUSE']
Q91X60,['ACHA2_MOUSE']
Q91XT4,['SC16B_MOUSE']
Q91XU0,['WRIP1_MOUSE']
Q91YE5,['BAZ2A_MOUSE']
Q91Z92,['B3GT6_MOUSE']
Q921K9,['BCL7B_MOUSE']
Q922P9,['GLYR1_MOUSE']
Q922R0,['PRKX_MOUSE']
Q923L3,['CSMD1_MOUSE']
Q924N4,['S12A6_MOUSE']
Q924X2,['CPT1B_MOUSE']
Q99JH7,['CSTN3_MOUSE']
Q99KR6,['RNF34_MOUSE']
Q99LE6,['ABCF2_MOUSE']
Q99LN9,['DOHH_MOUSE']
Q99MJ9,['DDX50_MOUSE']
Q99P69,['NUF2_MOUSE']
Q99PF4,['CAD23_MOUSE']
Q9CQ19,['MYL9_MOUSE']
Q9CQ71,['RFA3_MOUSE']
Q9CQE8,['RTRAF_MOUSE']
Q9CQP2,['TPPC2_MOUSE']
Q6GTJ6,['RPR1B_MOUSE']
Q9CWY8,['RNH2A_MOUSE']
Q9CX30,['YIF1B_MOUSE']
Q9CX98,['CP2U1_MOUSE']
Q9CXI3,['MOXD1_MOUSE']
Q9CY50,['SSRA_MOUSE']
Q9CYV5,['TM135_MOUSE']
Q9CZR3,['TM40L_MOUSE']
Q9D0B8,['RIBC1_MOUSE']
Q9D1T5,['PRR15_MOUSE']
Q9D2H8,['FNDC8_MOUSE']
Q9D552,['SPT17_MOUSE']
Q9D695,['SPB7_MOUSE']
Q9D6N5,['NC2A_MOUSE']
Q9D7S1,['TMM54_MOUSE']
Q9D8C8,['PPR35_MOUSE']
Q9D8U4,['C1QT2_MOUSE']
Q9D8V7,['SC11C_MOUSE']
Q9D952,['EVPL_MOUSE']
Q9DBJ6,['JOS1_MOUSE']
Q9DBN4,['P33MX_MOUSE']
Q9DC33,['HM20A_MOUSE']
Q9DC50,['OCTC_MOUSE']
Q9DCD5,['TJAP1_MOUSE']
Q9DCU2,['PLLP_MOUSE']
Q9DCV4,['RMD1_MOUSE']
Q9EPU4,['CPSF1_MOUSE']
Q9EQN3,['T22D4_MOUSE']
Q9ESN3,['PGAP6_MOUSE']
Q9JI11,['STK4_MOUSE']
Q9JL16,['ISG20_MOUSE']
Q9JL68,['FANCA_MOUSE']
Q9QXA6,['BAT1_MOUSE']
Q9QXP7,['C1QT1_MOUSE']
Q9QXY1,['ZO3_MOUSE']
Q9QYZ3,['SMK2B_MOUSE']
Q9R045,['ANGL2_MOUSE']
Q9R0B6,['LAMC3_MOUSE']
Q9R0B9,['PLOD2_MOUSE']
Q9R0M4,['PODXL_MOUSE']
Q9R0N4,['SYT10_MOUSE']
Q9R1C7,['PR40A_MOUSE']
Q9R1X5,['MRP5_MOUSE']
Q9R207,['NBN_MOUSE']
Q9WUF3,['C8AP2_MOUSE']
Q9WV31,['ARC_MOUSE']
Q9WVK0,['ATRAP_MOUSE']
Q9Z0G2,['SRPK3_MOUSE']
Q9Z0H0,['CDC7_MOUSE']
Q9Z0L4,['BMP15_MOUSE']
Q9Z1E4,['GYS1_MOUSE']
Q9Z1Q5,['CLIC1_MOUSE']
Q9Z2C5,['MTM1_MOUSE']
Q9Z2U2,['ZN292_MOUSE']
P70445,['4EBP2_MOUSE']
Q9DAS2,['CB070_MOUSE']
P62897,['CYC_MOUSE']
P21550,['ENOB_MOUSE']
Q8K1N2,['PHLB2_MOUSE']
