Uniprot Entry,Accession Name
Q3TXX4,['VGLU1_MOUSE']
Q9JME5,['AP3B2_MOUSE']
Q8CGP6,['H2A1H_MOUSE']
P50247,['SAHH_MOUSE']
P62702,['RS4X_MOUSE']
P16332,['MUTA_MOUSE']
Q9JI46,['NUDT3_MOUSE']
P46638,['RB11B_MOUSE']
Q9CPY7,['AMPL_MOUSE']
P00405,['COX2_MOUSE']
Q8K3K6,['CAPS2_MOUSE']
Q7TQF7,['AMPH_MOUSE']
Q920I9,['WDR7_MOUSE']
P05201,['AATC_MOUSE']
Q61305,['ANK3_MOUSE']
Q8BRT1,['CLAP2_MOUSE']
P63318,['KPCG_MOUSE']
Q922D4,['PP6R3_MOUSE']
P08752,['GNAI2_MOUSE']
P47963,['RL13_MOUSE']
P63011,['RAB3A_MOUSE']
P62484,['ABI2_MOUSE']
O35643,['AP1B1_MOUSE']
Q61598,['GDIB_MOUSE']
P48722,['HS74L_MOUSE']
P39447,['ZO1_MOUSE']
P99029,['PRDX5_MOUSE']
O88952,['LIN7C_MOUSE']
Q9R1Q8,['TAGL3_MOUSE']
O54983,['CRYM_MOUSE']
Q56A07,['SCN2B_MOUSE']
P18760,['COF1_MOUSE']
P28667,['MRP_MOUSE']
D3Z7P3,['GLSK_MOUSE']
P50396,['GDIA_MOUSE']
Q61036,['PAK3_MOUSE']
P62196,['PRS8_MOUSE']
Q80TJ1,['CAPS1_MOUSE']
Q9D8Y0,['EFHD2_MOUSE']
Q91V12,['BACH_MOUSE']
P57780,['ACTN4_MOUSE']
Q62108,['DLG4_MOUSE']
Q9R1P4,['PSA1_MOUSE']
Q8R081,['HNRPL_MOUSE']
Q9CR68,['UCRI_MOUSE']
Q8BG32,['PSD11_MOUSE']
P01831,['THY1_MOUSE']
O08915,['AIP_MOUSE']
Q9CQQ7,['AT5F1_MOUSE']
Q9DC69,['NDUA9_MOUSE']
O70435,['PSA3_MOUSE']
Q6ZQ38,['CAND1_MOUSE']
P62315,['SMD1_MOUSE']
Q91XH2,['SEPT6_MOUSE']
Q8BVI4,['DHPR_MOUSE']
P08228,['SODC_MOUSE']
Q5SUC9,['SCO1_MOUSE']
Q9D855,['QCR7_MOUSE']
Q9Z0N1,['IF2G_MOUSE']
Q91V92,['ACLY_MOUSE']
O35737,['HNRH1_MOUSE']
P70333,['HNRH2_MOUSE']
Q8BG05,['ROA3_MOUSE']
P62835,['RAP1A_MOUSE']
Q91WS0,['CISD1_MOUSE']
Q8C437,['PEX5R_MOUSE']
Q9JIS5,['SV2A_MOUSE']
